"gender","name","score"
"f","odalis","0.011725"
"f","tamara","0.125782"
"f","towanda","0.007200"
"f","gertrude","0.008083"
"f","shandra","0.008100"
"f","carson","0.014062"
"f","guadalupe","0.041874"
"f","alivia","0.041847"
"f","chastity","0.019882"
"f","jeannette","0.028312"
"f","dawne","0.006300"
"f","roseann","0.013407"
"f","dawna","0.011192"
"f","shawn","0.052990"
"f","danica","0.017692"
"f","hillary","0.030886"
"f","shirley","0.066287"
"f","jeannine","0.022064"
"f","rosalinda","0.012843"
"f","lissa","0.005850"
"f","eden","0.030604"
"f","sophie","0.072704"
"f","sophia","0.164484"
"f","rena","0.018387"
"f","michell","0.012312"
"f","rene","0.024776"
"f","ana","0.085512"
"f","angel","0.088558"
"f","celena","0.009033"
"f","ann","0.144208"
"f","mellisa","0.009787"
"f","winifred","0.007433"
"f","jewell","0.006500"
"f","adele","0.009850"
"f","vonda","0.018793"
"f","ayesha","0.008350"
"f","kevin","0.007450"
"f","cassandra","0.160362"
"f","rolanda","0.008114"
"f","bailee","0.026150"
"f","zoe","0.102776"
"f","nikole","0.010270"
"f","alessandra","0.019674"
"f","britta","0.010400"
"f","laureen","0.012450"
"f","amari","0.028679"
"f","tanesha","0.011385"
"f","jami","0.028429"
"f","zandra","0.007300"
"f","arleth","0.015500"
"f","malissa","0.013464"
"f","chelsy","0.010250"
"f","tristen","0.012500"
"f","traci","0.080563"
"f","makena","0.015475"
"f","anissa","0.019364"
"f","roxie","0.006983"
"f","zaniyah","0.016100"
"f","viviana","0.023329"
"f","chelsi","0.014886"
"f","nadine","0.023674"
"f","tracy","0.296593"
"f","beth","0.153187"
"f","michelle","0.828606"
"f","rosalie","0.013203"
"f","aisha","0.024335"
"f","renae","0.015826"
"f","kallie","0.013819"
"f","tena","0.011862"
"f","corrie","0.013453"
"f","maxine","0.015196"
"f","selah","0.016660"
"f","troy","0.005700"
"f","jaqueline","0.022325"
"f","stormy","0.011329"
"f","erykah","0.014450"
"f","treasure","0.013600"
"f","mitzi","0.017195"
"f","jamila","0.012262"
"f","madeline","0.099838"
"f","nadia","0.046768"
"f","sierra","0.138709"
"f","rowan","0.023757"
"f","caroline","0.130938"
"f","carolina","0.031098"
"f","chantal","0.013647"
"f","denisse","0.011729"
"f","hailey","0.206168"
"f","taya","0.013478"
"f","yulisa","0.010400"
"f","hailee","0.030144"
"f","yvonne","0.078288"
"f","chelsey","0.056727"
"f","dianna","0.034230"
"f","dianne","0.046244"
"f","tayler","0.025761"
"f","stacia","0.011617"
"f","stacie","0.056165"
"f","mattie","0.013062"
"f","camisha","0.010200"
"f","scott","0.007200"
"f","amanda","0.809510"
"f","crystal","0.340938"
"f","shalonda","0.011880"
"f","marlena","0.012579"
"f","shaneka","0.008600"
"f","marlene","0.036670"
"f","marnie","0.017154"
"f","yamilex","0.015700"
"f","danae","0.009933"
"f","colette","0.017681"
"f","isabel","0.066086"
"f","yazmin","0.016388"
"f","lilia","0.010850"
"f","felecia","0.014726"
"f","marlana","0.009350"
"f","noreen","0.020142"
"f","teena","0.009370"
"f","sable","0.009800"
"f","mandi","0.025888"
"f","tania","0.027302"
"f","dottie","0.007480"
"f","keshia","0.016945"
"f","kristal","0.017732"
"f","kristan","0.010792"
"f","jaylah","0.016050"
"f","meggan","0.008640"
"f","zara","0.016740"
"f","jo","0.057450"
"f","janeen","0.009694"
"f","kirsten","0.053146"
"f","aryana","0.015312"
"f","leanna","0.017352"
"f","dominque","0.012210"
"f","daria","0.009163"
"f","mona","0.027631"
"f","malia","0.023508"
"f","lorie","0.039774"
"f","marietta","0.008600"
"f","loria","0.006100"
"f","jeanmarie","0.006000"
"f","migdalia","0.008822"
"f","chaya","0.013428"
"f","whitley","0.018633"
"f","earline","0.005833"
"f","britni","0.014718"
"f","merry","0.009922"
"f","lacie","0.015062"
"f","shannen","0.011000"
"f","kiara","0.090218"
"f","nicolle","0.009978"
"f","nanette","0.023553"
"f","cyndi","0.007600"
"f","renita","0.011522"
"f","nicola","0.008414"
"f","jeana","0.010585"
"f","katlin","0.016417"
"f","lidia","0.009500"
"f","mara","0.015962"
"f","carina","0.018556"
"f","porsche","0.009350"
"f","carey","0.020685"
"f","mark","0.007209"
"f","cecelia","0.014562"
"f","jessenia","0.010071"
"f","caren","0.011553"
"f","mary","0.748848"
"f","tawnya","0.012964"
"f","marisa","0.048660"
"f","amani","0.018743"
"f","lakeshia","0.013112"
"f","tangela","0.008945"
"f","rubi","0.018640"
"f","andrew","0.010457"
"f","laney","0.025260"
"f","tamia","0.031186"
"f","jessika","0.013357"
"f","tamie","0.008438"
"f","elvia","0.008100"
"f","dahlia","0.017625"
"f","andrea","0.389954"
"f","ruby","0.057566"
"f","pattie","0.009925"
"f","polly","0.021206"
"f","isabella","0.414800"
"f","isabelle","0.104247"
"f","maliyah","0.020763"
"f","chimere","0.008800"
"f","shanta","0.012382"
"f","hattie","0.009544"
"f","margie","0.025887"
"f","valery","0.015180"
"f","alannah","0.012425"
"f","kaelynn","0.013800"
"f","iva","0.006850"
"f","candace","0.072809"
"f","kenya","0.026767"
"f","ivy","0.022954"
"f","tiera","0.012122"
"f","pat","0.019143"
"f","layla","0.062370"
"f","fatima","0.029749"
"f","emely","0.036713"
"f","dayna","0.014993"
"f","isla","0.035250"
